1	1	2	114
2	2	3	114
3	3	4	114
4	4	5	17
5	5	6	11
6	6	7	22
7	7	8	22
8	9	10	3
9	10	11	5
10	11	12	17
11	12	13	17
12	13	14	17
13	14	15	17
14	15	16	13
15	16	17	13
16	17	18	13
17	18	19	13
18	19	20	13
19	20	21	5
20	21	22	11
21	22	23	11
22	23	24	131
23	24	25	142
24	25	26	141
25	26	27	137
26	27	28	137
27	28	29	41
28	29	30	138
29	30	31	48
30	31	32	48
31	32	33	138
32	33	34	59
33	34	35	59
34	35	36	138
35	36	37	139
36	37	38	139
37	38	39	138
38	39	40	138
39	40	41	48
40	41	42	48
41	42	43	30
42	43	44	46
43	45	46	29
44	46	47	42
45	47	48	42
46	48	49	138
47	49	50	33
48	50	51	33
49	51	52	67
50	52	53	67
51	53	54	67
52	54	55	67
53	55	56	67
54	56	57	75
55	57	58	67
56	58	59	34
57	59	60	34
58	60	61	51
59	61	62	66
60	62	63	66
61	64	65	61
62	65	66	61
63	66	67	60
64	67	68	35
65	68	69	36
66	69	70	78
67	70	71	85
68	71	72	91
69	73	74	53
70	74	75	53
71	75	76	53
72	76	77	57
73	77	78	36
74	78	79	86
75	79	80	86
76	80	81	93
77	82	83	55
78	83	84	56
79	84	85	77
80	85	86	78
81	86	87	102
82	87	88	95
83	88	89	106
84	89	90	106
85	91	92	85
86	92	93	86
87	93	94	86
88	94	95	102
89	95	96	123
90	96	97	98
91	98	99	97
92	99	100	96
93	100	101	122
94	101	102	122
95	102	103	95
96	103	104	88
97	104	105	88
98	105	106	88
99	106	107	88
100	107	108	88
101	108	109	88
102	109	110	100
103	110	111	100
104	111	112	15
105	112	113	127
106	114	115	113
107	115	116	126
108	116	117	126
109	117	118	15
110	118	119	15
111	119	120	15
112	120	121	15
113	121	122	15
114	122	123	15
115	123	124	15
116	124	125	15
117	125	126	15
118	126	127	15
119	127	128	15
120	128	129	15
121	129	130	13
122	130	131	12
123	131	132	24
124	132	133	24
125	133	134	24
126	134	135	25
127	135	136	25
128	136	137	25
129	137	138	25
130	138	139	25
131	139	140	39
132	140	141	39
133	141	142	25
134	142	143	25
135	143	144	25
136	144	145	150
137	145	146	151
138	147	148	146
139	148	149	146
140	149	150	146
141	150	151	146
142	151	152	146
